Chemical Name,CAS#,Function,product page URL,product name
Protease,9014-01-1,Enzyme,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-magnolia-lily,ECOS® Liquidless Laundry Detergent Squares - Magnolia & Lily
Citric Acid,77-92-9,pH adjuster,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-magnolia-lily,ECOS® Liquidless Laundry Detergent Squares - Magnolia & Lily
Dimethicone,63148-62-9,Polymer,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-magnolia-lily,ECOS® Liquidless Laundry Detergent Squares - Magnolia & Lily
Benzyl Salicylate,118-58-1,Fragrance component,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-magnolia-lily,ECOS® Liquidless Laundry Detergent Squares - Magnolia & Lily
Courmarin,91-64-5,Fragrance component,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-magnolia-lily,ECOS® Liquidless Laundry Detergent Squares - Magnolia & Lily
Hexyl Cinnamal,101-86-0,Fragrance component,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-magnolia-lily,ECOS® Liquidless Laundry Detergent Squares - Magnolia & Lily
Sodium Carbonate,497-19-8,Water Softener,https://www.ecos.com/product/detergents/laundry-detergent-packs-free-clear/,Laundry Detergent Packs - Free & Clear
Sodium Bicarbonate,144-55-8,pH Adjuster,https://www.ecos.com/product/detergents/laundry-detergent-packs-free-clear/,Laundry Detergent Packs - Free & Clear
Sodium Metasilicate,10213-79-3,pH Adjuster,https://www.ecos.com/product/detergents/laundry-detergent-packs-free-clear/,Laundry Detergent Packs - Free & Clear
Sodium Carbonate Peroxide,15630-89-4,Stain Remover,https://www.ecos.com/product/detergents/laundry-detergent-packs-free-clear/,Laundry Detergent Packs - Free & Clear
Polyvinyl Alcohol,9002-89-5,Water-Soluble Coating,https://www.ecos.com/product/detergents/laundry-detergent-packs-free-clear/,Laundry Detergent Packs - Free & Clear
Tetrasodium Iminodisuccinate,144538-83-0,Chelator,https://www.ecos.com/product/detergents/laundry-detergent-packs-free-clear/,Laundry Detergent Packs - Free & Clear
